,personUri,personLabel,birthYear,gender,countries,continents,occupations,fields
1274,http://www.wikidata.org/entity/Q348533,Q348533,1980,male,United States,North America,"television personality, DJ producer, radio personality, voice actor, rapper, television presenter, comedian, entrepreneur, businessperson, composer, actor, screenwriter","television personality, DJ producer, radio personality, voice actor, rapper, television presenter, comedian, entrepreneur, businessperson, composer, actor, screenwriter"
1275,http://www.wikidata.org/entity/Q46284716,Wicca Phase Springs Eternal,1990,male,United States,North America,"rapper, guitarist, record producer, singer","rapper, guitarist, record producer, singer"
1276,http://www.wikidata.org/entity/Q47037259,Feduk,1992,male,Russia,Europe,"rapper, songwriter, singer","rapper, songwriter, singer"
1277,http://www.wikidata.org/entity/Q60994278,Han,2000,male,South Korea,Asia,"dancer, DJ producer, rapper, musician, singer, composer","dancer, DJ producer, rapper, musician, singer, composer"
1278,http://www.wikidata.org/entity/Q16064891,Grim104,1988,male,Germany,Europe,rapper,rapper
1279,http://www.wikidata.org/entity/Q125510148,Rio da Yung OG,1994,male,United States,North America,"rapper, songwriter","rapper, songwriter"
1280,http://www.wikidata.org/entity/Q65013174,Cazzu,1993,female,Argentina,South America,"rapper, songwriter, singer","rapper, songwriter, singer"
1281,http://www.wikidata.org/entity/Q6063872,Bossy Bo,1970,male,Kingdom of Denmark,Europe,"voice actor, rapper, composer","voice actor, rapper, composer"
1282,http://www.wikidata.org/entity/Q131553215,Karen Туз,1989,male,Russia,Europe,"rapper, singer","rapper, singer"
1283,http://www.wikidata.org/entity/Q115099541,2Rare,2000,male,United States,North America,"rapper, songwriter","rapper, songwriter"
1284,http://www.wikidata.org/entity/Q483926,Kim Hyung-jun,1987,male,South Korea,Asia,"model, rapper, singer, disc jockey, actor","model, rapper, singer, disc jockey, actor"
1285,http://www.wikidata.org/entity/Q25431011,Sophie Krüger,1998,female,Norway,Europe,rapper,rapper
1286,http://www.wikidata.org/entity/Q132472209,Q132472209,1982,male,Germany,Europe,rapper,rapper
1287,http://www.wikidata.org/entity/Q57263484,Zefanio,1991,male,Kingdom of the Netherlands,Europe,rapper,rapper
1288,http://www.wikidata.org/entity/Q5687271,Haystak,1973,male,United States,North America,rapper,rapper
1289,http://www.wikidata.org/entity/Q110388398,Wegz,1998,male,Egypt,Africa,"rapper, singer, actor","rapper, singer, actor"
1290,http://www.wikidata.org/entity/Q7114087,Overweight Pooch,1901,female,United States,North America,rapper,rapper
1291,http://www.wikidata.org/entity/Q3986754,Basta,1980,male,Russia,Europe,"radio personality, rapper, television presenter, songwriter, record producer, singer, actor, screenwriter","radio personality, rapper, television presenter, songwriter, record producer, singer, actor, screenwriter"
1292,http://www.wikidata.org/entity/Q55413284,Tana Mongeau,1998,female,United States,North America,"YouTuber, vlogger, rapper, Internet celebrity","YouTuber, vlogger, rapper, Internet celebrity"
1293,http://www.wikidata.org/entity/Q3244590,Outasight,1983,male,United States,North America,"rapper, record producer","rapper, record producer"
1294,http://www.wikidata.org/entity/Q6715049,MC Duke,1966,male,United Kingdom,Europe,rapper,rapper
1295,http://www.wikidata.org/entity/Q6433074,Kosha Dillz,1981,male,"United States, Israel","North America, Asia",rapper,rapper
1296,http://www.wikidata.org/entity/Q2605565,Škabo,1976,male,Serbia,Europe,"rapper, journalist, musician, singer","rapper, journalist, musician, singer"
1297,http://www.wikidata.org/entity/Q5524220,Garry Sandhu,1984,male,India,Asia,"rapper, songwriter, singer, actor","rapper, songwriter, singer, actor"
1298,http://www.wikidata.org/entity/Q11793552,Nowator,1985,male,Poland,Europe,rapper,rapper
1299,http://www.wikidata.org/entity/Q371238,Kardinal Offishall,1976,male,Canada,North America,"rapper, songwriter, record producer, disc jockey","rapper, songwriter, record producer, disc jockey"
1300,http://www.wikidata.org/entity/Q105942926,Gameboy Tetris,1986,male,"Estonia, Soviet Union","Europe, Asia","radio personality, rapper","radio personality, rapper"
1301,http://www.wikidata.org/entity/Q21622075,MNSSH,1992,male,Germany,Europe,"rapper, songwriter, record producer","rapper, songwriter, record producer"
1302,http://www.wikidata.org/entity/Q123284671,Valles-T,1996,male,Colombia,South America,"rapper, singer","rapper, singer"
1303,http://www.wikidata.org/entity/Q6074190,Rikard de Bruin,1989,male,Sweden,Europe,rapper,rapper
1304,http://www.wikidata.org/entity/Q5436372,Farruko,1991,male,United States,North America,"rapper, songwriter, singer","rapper, songwriter, singer"
1305,http://www.wikidata.org/entity/Q1792492,Speedy,1979,male,United States,North America,"rapper, singer","rapper, singer"
1306,http://www.wikidata.org/entity/Q65029294,Vory,1997,male,United States,North America,"rapper, songwriter, singer","rapper, songwriter, singer"
1307,http://www.wikidata.org/entity/Q15122641,Capital Steez,1993,male,United States,North America,"rapper, songwriter","rapper, songwriter"
1308,http://www.wikidata.org/entity/Q3116601,Grido,1979,male,Italy,Europe,"rapper, singer","rapper, singer"
1309,http://www.wikidata.org/entity/Q55823815,LouiVos,1989,male,Kingdom of the Netherlands,Europe,rapper,rapper
1310,http://www.wikidata.org/entity/Q80331200,Niletto,1991,male,Russia,Europe,"dancer, rapper, singer","dancer, rapper, singer"
1311,http://www.wikidata.org/entity/Q56393006,Prophet New York,1995,male,United States,North America,rapper,rapper
1312,http://www.wikidata.org/entity/Q936479,Wiley,1979,male,United Kingdom,Europe,"autobiographer, rapper, record producer, composer","autobiographer, rapper, record producer, composer"
1313,http://www.wikidata.org/entity/Q85711090,Josef Tarrak Petrussen,1998,male,Kingdom of Denmark,Europe,"rapper, musician","rapper, musician"
1314,http://www.wikidata.org/entity/Q124070019,Dinor Rdt,2002,male,France,Europe,rapper,rapper
1315,http://www.wikidata.org/entity/Q11815509,Pelson,1978,male,Poland,Europe,rapper,rapper
1316,http://www.wikidata.org/entity/Q15813270,Timeless,1990,male,Italy,Europe,rapper,rapper
1317,http://www.wikidata.org/entity/Q8037724,Wrekonize,1983,male,United States,North America,rapper,rapper
1318,http://www.wikidata.org/entity/Q7275842,Nicholas Furlong,1986,male,United States,North America,"rapper, songwriter, record producer, singer","rapper, songwriter, record producer, singer"
1319,http://www.wikidata.org/entity/Q3021163,Def Bond,1969,male,France,Europe,rapper,rapper
1320,http://www.wikidata.org/entity/Q2899818,Lil Durk,1992,male,United States,North America,"rapper, songwriter, singer","rapper, songwriter, singer"
1321,http://www.wikidata.org/entity/Q18719074,Tes,1901,male,United States,North America,"rapper, record producer, composer","rapper, record producer, composer"
1322,http://www.wikidata.org/entity/Q1632275,MC Gringo,2000,male,Germany,Europe,"rapper, musician","rapper, musician"
1323,http://www.wikidata.org/entity/Q111033441,Fukaj,2003,male,Poland,Europe,rapper,rapper
1324,http://www.wikidata.org/entity/Q108441100,FatBoy SSE,1993,male,United States,North America,"influencer, rapper, comedian","influencer, rapper, comedian"
1325,http://www.wikidata.org/entity/Q286643,Silla,1984,male,Germany,Europe,"rapper, singer","rapper, singer"
